run_dir,route,dtype,N,steps_used,T_range_ms,S_range_ms,T_transfer_ms,S_transfer_ms,T_edge_ms,S_edge_ms,T_update_ms,S_update_ms,T_overhead_ms,S_overhead_ms,T_total_ms,S_total_ms,P_range,P_transfer,P_edge,P_update,P_overhead
results/2025-08-18_21-25-28_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,9,190,0.08999924910695929,0.036035433081355546,0.14808554398386103,0.006159559991094723,1.7619333769145764,0.19732654067704403,0.005117215608295642,0.0012817360247471495,0.05737354880885074,0.026971241494493134,2.062508934422543,0.23105719254648102,4.363581054360722,7.179874060779364,85.42670276518723,0.24810634867520462,2.781735770997475
results/2025-08-18_21-29-49_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,9,190,0.0901761807893452,0.04968323709719659,0.14750330071700246,0.03642007571846797,1.7429966675607782,0.14682523091376734,0.005413356580232319,0.004745399665253486,0.05819922999331826,0.044162066255936036,2.0442887356406763,0.24946803358137662,4.4111274115632275,7.2153848986882565,85.26176548218989,0.2648039137453733,2.8469182938132627
results/2025-08-18_21-40-39_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,9,290,0.0869701648580617,0.020417356349915556,0.14643093635296,0.022667167212737035,1.7398620473927464,0.24195713816681008,0.004853051284263874,0.0011448216484040926,0.05519636746110587,0.01400214626398779,2.033312567349138,0.2764948237592633,4.277264905289308,7.201595008280717,85.5678598229997,0.23867709088086123,2.7146031725494253
results/2025-08-18_21-42-03_advanced_gpu_grid3_dtypefloat64_noiseN/A,GPU-Advanced,float64,9,290,0.08274851174190126,0.004514163883259139,0.14478420389109645,0.004336639601717517,1.7272801234804351,0.12986556008983566,0.004320309079926589,0.0002952648175893632,0.05277847421580348,0.003987921585994486,2.011911622409163,0.1340609196808853,4.112929753982637,7.196350092044533,85.85268379791475,0.2147365238018376,2.6232998322562455
results/2025-08-18_21-42-11_advanced_gpu_grid3_dtypefloat64_noiseN/A,GPU-Advanced,float64,9,290,0.0829721319264379,0.00925438387862665,0.14452112132105335,0.007262063899416205,1.7382547773163894,0.1503304617937776,0.004489668484391837,0.00125103932330025,0.05393028259277344,0.015090988826191452,2.024167981641046,0.17495311471327002,4.099073430613709,7.1397790416527736,85.87502584183457,0.2218031569075579,2.6643185289913904
results/2025-08-18_21-56-34_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,64,290,0.6741869038548963,0.07752385610076683,0.1741598392355031,0.014106792579241745,2.043309705010776,0.22359592882171989,0.004980481904128502,0.0003138309113775225,0.06256185728928139,0.013907399798707993,2.9591987872945853,0.26344565063819175,22.782751424119912,5.885371404694539,69.04942357315743,0.1683050806019643,2.1141485174261603
results/2025-08-18_22-44-34_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,64,290,0.6677298710264009,0.03369316695809662,0.17764814968766837,0.017728168138393657,1.9486361536486396,0.046621514260682284,0.005072560803643589,0.0006424852604912781,0.0349233890401906,0.0038485213377416902,2.834010124206543,0.07958179331934821,23.56130859671328,6.268437369729077,68.7589693842118,0.17898880319151253,1.2322958461543372
results/2025-08-18_22-07-06_advanced_gpu_grid3_dtypefloat64_noiseN/A,GPU-Advanced,float64,64,290,0.6606060883094524,0.01745196882907283,0.1792957042825633,0.12247957520457224,1.9759457686851765,0.05371852052479744,0.004423075708849677,0.00023830515446188845,0.06162544776653421,0.0029578463592125816,2.8818960847525763,0.17085729964588783,22.922620000233923,6.221449317037281,68.56408803701956,0.1534779734859669,2.1383646722232537
results/2025-08-18_22-44-54_advanced_gpu_grid3_dtypefloat64_noiseN/A,GPU-Advanced,float64,64,290,0.6605353848687534,0.022327078749638407,0.1849799320615571,0.032283343549040916,1.995058717398808,0.10675124298786302,0.004316198414769666,0.00020138064275800592,0.03599216198099071,0.0028124675941130274,2.8808823947248787,0.12679918966024087,22.928231505674976,6.4209470126329995,69.25165432132589,0.14982209696143664,1.2493450634047114
results/2025-08-18_21-59-32_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,128,290,2.9758469811801254,2.387626703741897,0.1970480228292531,0.018258804837416886,2.004109579941322,0.09527412941238719,0.005190947960162985,0.0009132502983980616,0.07151817453318629,0.011946721953477402,5.253713706444049,2.4234749120121433,56.642732121661666,3.750642570941006,38.14653199475146,0.0988053070687107,1.361288005577164
results/2025-08-18_22-44-37_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,128,290,3.020645832193309,2.7226745678628492,0.22874700612035292,0.01891015659422294,2.066581002597151,0.32419351945217423,0.0054762281220534755,0.00175048494768035,0.03975753126473262,0.013576089361808756,5.361207600297599,2.7737830850766287,56.342638774622976,4.2667067417358595,38.54693115190011,0.1021454218961693,0.7415779098448957
results/2025-08-18_22-11-53_advanced_gpu_grid3_dtypefloat64_noiseN/A,GPU-Advanced,float64,128,290,3.0935279254255623,2.680659442318434,0.22445300529743062,0.04027675186182167,2.138008742496885,0.17723553306525186,0.005010078693258351,0.0015462667913124014,0.08112726540401063,0.017619792577088223,5.5421270173171475,2.742642140764607,55.81842342767323,4.049943362829757,38.57740423155909,0.09039992547272306,1.4638290524651851
results/2025-08-18_22-44-57_advanced_gpu_grid3_dtypefloat64_noiseN/A,GPU-Advanced,float64,128,290,2.960200145326812,1.9641075461674968,0.24046157968455345,0.018019177963079492,2.113202522540915,0.16626971836105112,0.005052007477858971,0.0004871198916601595,0.04033795718489022,0.011489992684380678,5.359254212215029,1.9832572796412116,55.23530006432245,4.48684779939126,39.430906593764824,0.0942669871181746,0.7526785554032933
results/2025-08-18_21-43-07_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,256,290,12.422603574292413,3.071532347451943,0.2332284532744309,0.047368384059183255,2.0622278081959693,0.17808598348284743,0.0057795952106344285,0.0036503558342990228,0.09887711755160628,0.017512441501601413,14.822716548525054,3.110033814440784,83.80787377013246,1.5734528317458683,13.912617174084549,0.038991470906927186,0.6670647531301886
results/2025-08-18_22-05-14_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,256,290,12.295255167730923,3.0713054741869352,0.22757464441759834,0.05096640988355051,2.068322280357624,0.21718070150028368,0.005778773077603044,0.0027300671235626615,0.09908182867642107,0.025859814875473456,14.696012694260169,3.092638255893138,83.66388505184871,1.5485468688148474,14.074037110524884,0.03932204740038135,0.6742089214111766
results/2025-08-18_22-26-47_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,256,290,12.284567438322922,3.4577404104165637,0.29211866444554824,0.021907119861576452,2.0818471908569336,0.047303836670657455,0.005725334430563039,0.0002882675565628989,0.04270570031527815,0.0033018673189631528,14.706964328371246,3.5090346788920246,83.52891299684958,1.9862607804251031,14.15551941498108,0.03892940992260571,0.29037739782161887
results/2025-08-18_22-27-30_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,256,290,12.379495028791757,3.7409920611798424,0.31643653738087624,0.03193233987064915,2.1436280217663994,0.0675355928274088,0.005768907481226428,0.00034288073034885425,0.04656890342975485,0.004435582870818832,14.891897398850013,3.779331902745982,83.12906473387153,2.124890663061594,14.394593008221609,0.03873856585710774,0.3127130289881732
results/2025-08-18_22-43-45_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,256,290,12.713036043890591,4.11261671162409,0.34050448187466326,0.05280194581429675,2.1837423587667533,0.13789637523879236,0.0069116723948511585,0.0017012078015478701,0.05950681094465585,0.01725500728703208,15.303701367871515,4.15779746452137,83.07164220141051,2.224981223101465,14.269373834955294,0.04516340347153843,0.3888393370611899
results/2025-08-18_22-44-41_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,256,290,12.761604374852674,4.152941777596218,0.3501407031355233,0.06914764283272436,2.2180006421845535,0.19055250650215502,0.006574597851983432,0.0005295845079648459,0.06197156577274717,0.00840348935378345,15.398291883797482,4.222654275502925,82.87675328638753,2.273893142030586,14.404199237958313,0.0426969296438744,0.40245740397969343
results/2025-08-18_22-46-40_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,256,290,12.84016987373089,6.599318148600441,0.3542974077422043,0.09669445126740323,2.2276311085141938,0.18233760663513673,0.006603372508081897,0.0009294525714253191,0.052575407357051455,0.014823639007811801,15.48127716985242,6.665328949282388,82.93999088612205,2.288554128028584,14.389194664456934,0.042653926001279936,0.3396063953911668
results/2025-08-18_22-17-19_advanced_gpu_grid3_dtypefloat64_noiseN/A,GPU-Advanced,float64,256,290,12.620306015014648,3.607129644119171,0.2758659165481041,0.057609605240913284,2.135976429643302,0.11441196987680323,0.00547705025508486,0.003400857005858625,0.11329322025693696,0.02799554221724497,15.150918631718076,3.646338091272571,83.29729913930333,1.8207867341494766,14.097999478207797,0.03614995491836904,0.7477646934210338
results/2025-08-18_22-45-01_advanced_gpu_grid3_dtypefloat64_noiseN/A,GPU-Advanced,float64,256,290,13.068991693957098,5.985719038308015,0.3828615977846343,0.07257752759138159,2.226265545549064,0.15133164951250996,0.005875784775306438,0.0023413969129306702,0.05768414201407597,0.016760703417510604,15.741678764080179,6.0456989543833215,83.02158803912518,2.4321522724644784,14.142491273732643,0.03732629069215906,0.3664421239855391
results/2025-08-18_21-43-14_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,512,290,59.297213061102504,4.811811636370017,0.3509677689650963,0.053207700116716515,2.0862225828499628,0.06519299719458281,0.006115025487439385,0.00036565608529799285,0.1773620473927465,0.030469933228776266,61.91788048579775,4.840021214458162,95.76751109027971,0.5668278148597135,3.369337849554596,0.00987602521188044,0.28644722009408646
results/2025-08-18_22-27-37_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,512,290,68.73015864142056,7.037903410319374,0.7944846975392309,0.11137830003516705,2.4188822713391533,0.1892340827753876,0.007733805426235856,0.0006350364363841261,0.07739724784061827,0.008008996859947777,72.0286566635658,7.055574254051597,95.42057540021607,1.103011959878886,3.358222106844726,0.010737122951437524,0.10745341010887971
results/2025-08-18_22-46-47_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,512,290,73.91105931380699,7.77197284374191,0.8146475101339405,0.12277058213308475,2.4684182528791756,0.13118079272750183,0.009587715412008351,0.0008601711965271823,0.09125841074976428,0.011135643536714526,77.29497120298188,7.792871008795854,95.62208014763533,1.0539463272385734,3.193504330827604,0.012404061044062432,0.11806513325441761
results/2025-08-18_21-43-35_advanced_gpu_grid3_dtypefloat32_noiseN/A,GPU-Advanced,float32,1024,290,288.2298683298045,12.846512781417575,0.8883056969478214,0.20287322684093706,2.5111831467727135,0.2361100683055526,0.009746387087065598,0.0012804665879177263,0.8431409967356714,0.15718105092870494,292.48224455734777,13.032407003735862,98.54610790683074,0.3037126914463517,0.858576270355563,0.003332300427951139,0.288270830939399
